timestamp,symbol,side,order_type,price,quantity,order_id,trader_id
1764298933605,GOOGL,BUY,LIMIT,150.04,5000,1,1029
1764298933648,GOOGL,SELL,LIMIT,150.14,2000,2,1057
1764298933716,GOOGL,BUY,LIMIT,149.99,100,3,1057
1764298933793,GOOGL,SELL,MARKET,0.0,1000,4,1041
1764298933887,GOOGL,SELL,LIMIT,150.03,100,5,1086
1764298933942,GOOGL,SELL,LIMIT,149.95,1000,6,1074
1764298933944,GOOGL,SELL,LIMIT,150.03,5000,7,1043
1764298933997,GOOGL,SELL,LIMIT,149.98,100,8,1066
1764298934050,GOOGL,BUY,LIMIT,149.86,100,9,1043
1764298934088,GOOGL,SELL,MARKET,0.0,500,10,1025
1764298934174,GOOGL,SELL,MARKET,0.0,1000,11,1002
1764298934271,GOOGL,SELL,LIMIT,149.95,5000,12,1045
1764298934288,GOOGL,BUY,LIMIT,149.92,100,13,1010
1764298934343,GOOGL,SELL,LIMIT,150.07,200,14,1083
1764298934391,GOOGL,BUY,LIMIT,150.0,5000,15,1043
1764298934447,GOOGL,BUY,LIMIT,150.02,200,16,1061
1764298934545,GOOGL,BUY,MARKET,0.0,5000,17,1036
1764298934591,GOOGL,SELL,LIMIT,149.9,100,18,1022
1764298934604,GOOGL,BUY,LIMIT,149.9,200,19,1038
1764298934657,GOOGL,SELL,LIMIT,149.96,200,20,1096
1764298934692,GOOGL,SELL,LIMIT,150.04,1000,21,1057
1764298934694,GOOGL,SELL,LIMIT,149.98,500,22,1010
1764298934782,GOOGL,BUY,LIMIT,149.87,200,23,1079
1764298934874,GOOGL,SELL,LIMIT,149.94,500,24,1086
1764298934949,GOOGL,BUY,LIMIT,149.85,100,25,1088
1764298934956,GOOGL,SELL,LIMIT,149.91,100,26,1028
1764298935047,GOOGL,BUY,MARKET,0.0,200,27,1022
1764298935065,GOOGL,SELL,MARKET,0.0,5000,28,1032
1764298935068,GOOGL,SELL,MARKET,0.0,2000,29,1081
1764298935118,GOOGL,SELL,LIMIT,149.99,200,30,1036
1764298935197,GOOGL,BUY,LIMIT,149.96,200,31,1092
1764298935254,GOOGL,SELL,LIMIT,150.16,5000,32,1087
1764298935285,GOOGL,SELL,LIMIT,150.13,500,33,1091
1764298935303,GOOGL,BUY,MARKET,0.0,1000,34,1000
1764298935374,GOOGL,SELL,LIMIT,150.17,1000,35,1036
1764298935388,GOOGL,BUY,MARKET,0.0,1000,36,1086
1764298935472,GOOGL,SELL,LIMIT,150.19,200,37,1009
1764298935539,GOOGL,BUY,LIMIT,150.12,5000,38,1061
1764298935600,GOOGL,SELL,LIMIT,150.14,100,39,1093
